epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2917,1.50903,3.25944,1.78875,0.35962,0.54029,0.40191,0.16608,1.95097,2.21899,2.64001,0.000164751,0.000164751,0.000164751
2,58.8299,1.44302,1.73782,1.70886,0.32598,0.36775,0.4009,0.19857,1.80631,2.11457,2.64417,0.000328137,0.000328137,0.000328137
3,78.481,1.44533,1.58061,1.71103,0.3015,0.53932,0.39382,0.17628,2.04152,2.26931,2.78004,0.000488222,0.000488222,0.000488222
4,97.7289,1.48916,1.59437,1.75598,0.39734,0.49896,0.44288,0.2071,2.03762,2.11523,2.68709,0.00048515,0.00048515,0.00048515
5,116.758,1.45146,1.49352,1.722,0.32358,0.66876,0.49861,0.24903,1.78965,1.71574,2.4749,0.0004802,0.0004802,0.0004802
6,136.661,1.41926,1.40308,1.68515,0.30072,0.46485,0.41325,0.22622,1.86887,2.03239,2.55344,0.00047525,0.00047525,0.00047525
7,155.064,1.40374,1.37833,1.67482,0.3947,0.50516,0.54006,0.29271,1.71539,1.74618,2.39853,0.0004703,0.0004703,0.0004703
8,174.735,1.37454,1.32956,1.65315,0.4349,0.65848,0.52536,0.28231,1.72831,1.57459,2.29394,0.00046535,0.00046535,0.00046535
9,192.777,1.35874,1.29778,1.65029,0.44776,0.58859,0.53939,0.284,1.7946,1.45606,2.45138,0.0004604,0.0004604,0.0004604
10,211.912,1.34709,1.28545,1.63476,0.41311,0.68101,0.56614,0.33249,1.62608,1.48232,2.26124,0.00045545,0.00045545,0.00045545
11,231.26,1.32612,1.26046,1.60969,0.47524,0.67192,0.54688,0.3085,1.63014,1.36819,2.27887,0.0004505,0.0004505,0.0004505
12,249.705,1.30631,1.20812,1.59904,0.57187,0.60499,0.68776,0.42035,1.58208,1.47286,2.1952,0.00044555,0.00044555,0.00044555
13,269.071,1.31004,1.21001,1.60604,0.52841,0.68572,0.59839,0.34528,1.65944,1.27699,2.35854,0.0004406,0.0004406,0.0004406
14,287.33,1.28421,1.16548,1.58204,0.46118,0.70454,0.5264,0.28663,1.69584,1.39568,2.31966,0.00043565,0.00043565,0.00043565
15,306.377,1.28494,1.1507,1.5799,0.4884,0.63208,0.56042,0.32192,1.71608,1.5476,2.35737,0.0004307,0.0004307,0.0004307
16,324.794,1.26277,1.16421,1.56392,0.49753,0.77168,0.58202,0.33457,1.59572,1.21097,2.22182,0.00042575,0.00042575,0.00042575
17,343.858,1.26535,1.11299,1.5636,0.53783,0.79562,0.57858,0.33247,1.5763,1.25515,2.1875,0.0004208,0.0004208,0.0004208
18,363.119,1.25855,1.10344,1.5582,0.48038,0.63589,0.58104,0.3437,1.67021,1.28269,2.25724,0.00041585,0.00041585,0.00041585
19,382.046,1.23759,1.08307,1.55309,0.52732,0.72404,0.5876,0.35266,1.53748,1.27685,2.20771,0.0004109,0.0004109,0.0004109
20,401.69,1.2308,1.08226,1.54922,0.44308,0.683,0.56503,0.32138,1.62155,1.18564,2.31094,0.00040595,0.00040595,0.00040595
21,419.74,1.23567,1.07364,1.54318,0.55847,0.7342,0.6719,0.41218,1.69783,1.1365,2.25795,0.000401,0.000401,0.000401
22,438.88,1.21388,1.03133,1.51993,0.51314,0.56138,0.63004,0.34019,1.66644,1.50444,2.21652,0.00039605,0.00039605,0.00039605
23,456.733,1.22104,1.03406,1.53809,0.54721,0.64945,0.59995,0.33706,1.55847,1.11577,2.1453,0.0003911,0.0003911,0.0003911
24,476.096,1.21135,1.02127,1.5198,0.80252,0.43923,0.48687,0.27294,1.60104,1.53386,2.23331,0.00038615,0.00038615,0.00038615
25,493.853,1.19519,1.02171,1.51871,0.20456,0.56889,0.38869,0.23224,1.64961,2.34685,2.30079,0.0003812,0.0003812,0.0003812
26,513.161,1.19964,1.00978,1.51356,0.58469,0.59238,0.62102,0.35889,1.62653,1.45549,2.22367,0.00037625,0.00037625,0.00037625
27,532.832,1.17713,0.99154,1.50212,0.52283,0.64509,0.61167,0.349,1.56635,0.89779,2.17199,0.0003713,0.0003713,0.0003713
28,550.466,1.17562,0.96644,1.49505,0.5104,0.68929,0.57568,0.33573,1.57246,1.25161,2.22975,0.00036635,0.00036635,0.00036635
29,569.112,1.1755,0.96702,1.49693,0.52508,0.7663,0.61802,0.36502,1.58848,1.11105,2.22475,0.0003614,0.0003614,0.0003614
30,586.435,1.15609,0.95536,1.47983,0.54868,0.77294,0.57505,0.33203,1.54206,1.08558,2.1642,0.00035645,0.00035645,0.00035645
31,605.154,1.14868,0.95286,1.4754,0.42365,0.61757,0.54603,0.3207,1.52747,1.13355,2.12774,0.0003515,0.0003515,0.0003515
32,622.514,1.14738,0.92939,1.47754,0.49241,0.68975,0.60034,0.35589,1.61401,1.27767,2.18307,0.00034655,0.00034655,0.00034655
