epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,120.162,1.55999,5.95429,2.03049,0.82189,0.14545,0.18366,0.06193,1.97712,2.52756,3.19366,0.0099569,0.00331897,0.0099569,0.00331897,0.0099569,0.00331897,0.0099569,0.00331897
2,207.999,1.62892,3.16721,2.07062,0.4184,0.07576,0.055,0.01324,2.88935,3.08024,3.69553,0.0197593,0.00658644,0.0197593,0.00658644,0.0197593,0.00658644,0.0197593,0.00658644
3,282.418,1.79448,2.70813,2.22638,0.0031,0.14739,0.00202,0.00052,3.37648,6.6697,4.20829,0.0293637,0.00978792,0.0293637,0.00978792,0.0293637,0.00978792,0.0293637,0.00978792
4,356.418,1.9375,2.98316,2.39064,0.40376,0.10303,0.07659,0.0201,2.24331,2.99099,3.53073,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,432.37,1.82905,2.77822,2.28831,0.42717,0.16667,0.16066,0.05578,2.01761,2.9373,3.19898,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,507.944,1.76567,2.50679,2.21095,0.45867,0.17576,0.19823,0.07634,1.92632,2.69261,3.21934,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,583.291,1.70302,2.3851,2.14225,0.46646,0.18182,0.20911,0.07293,2.18196,2.47987,3.26986,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,659.912,1.67539,2.29133,2.10623,0.47634,0.10303,0.12509,0.04525,2.32728,3.59931,3.75415,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,734.263,1.64805,2.21154,2.0693,0.50943,0.17879,0.28752,0.12573,1.92258,2.61781,2.97251,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,806.005,1.62643,2.1555,2.05759,0.45654,0.18788,0.1984,0.06293,2.44423,2.38536,3.41711,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,878.063,1.62135,2.08202,2.04587,0.51601,0.19841,0.28378,0.10768,2.11584,2.22754,3.11634,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,949.41,1.58602,2.02446,2.0179,0.49347,0.16667,0.24141,0.10407,1.96155,2.6481,2.9718,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1020.97,1.57335,1.99681,1.99036,0.51678,0.20909,0.26418,0.10411,2.05516,2.24955,3.11321,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1092.84,1.52516,1.91391,1.96416,0.54059,0.21515,0.32427,0.13662,1.86348,2.16672,2.85862,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1167.84,1.51357,1.84958,1.94597,0.50069,0.24242,0.35063,0.1625,1.97893,2.17749,2.88521,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1242.3,1.52425,1.83715,1.937,0.14203,0.25455,0.29002,0.13289,1.96057,2.25297,2.9103,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1317,1.49245,1.78692,1.92953,0.54619,0.19394,0.32451,0.14017,1.9771,2.05253,2.95613,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
